Candidat,Compte Twitter,Followers
Jean-Luc Mélenchon,melenchon_2022,16207
Nathalie Arthaud,n_arthaud,22214
Anasse Kazib,AnasseKazib,60307
Philippe Poutou,PhilippePoutou,200275
Anne Hidalgo,Anne_Hidalgo,1539740
Arnaud Montebourg,montebourg,440862
Yannick Jadot,yjadot,88232
Emmanuel Macron,EmmanuelMacron,7537869
Valérie Pécresse,vpecresse,415291
Marine Le Pen,MLP_officiel,2658786
François Asselineau,UPR_Asselineau,119460
Eric Zemmour,ZemmourEric,340919
Jean Lassalle,jeanlassalle,67072
